iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
GRC,Europe,Greece,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,11.11,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,11.11,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-27,1.0,1.0,0.0,0.0,0.096,0.096,0.0,0.0,,,,,,,,11.11,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-28,3.0,2.0,0.0,0.0,0.288,0.192,0.0,0.0,,,,,,,,11.11,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-02-29,4.0,1.0,0.0,0.0,0.384,0.096,0.0,0.0,,,,,,,,19.44,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-01,7.0,3.0,0.0,0.0,0.672,0.288,0.0,0.0,,,,,,,,19.44,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-02,7.0,0.0,0.0,0.0,0.672,0.0,0.0,0.0,,,,,,,,19.44,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-03,,,,,,,,,,570.0,0.055,,,,samples tested,19.44,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-04,,,,,,,,,,,,,,,samples tested,19.44,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-05,10.0,3.0,0.0,0.0,0.959,0.288,0.0,0.0,,,,,,,samples tested,28.7,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-06,32.0,22.0,0.0,0.0,3.07,2.111,0.0,0.0,,,,,,,samples tested,28.7,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-07,45.0,13.0,0.0,0.0,4.317,1.247,0.0,0.0,,,,,,,samples tested,28.7,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-08,66.0,21.0,0.0,0.0,6.332,2.015,0.0,0.0,,,,,,,samples tested,28.7,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-09,73.0,7.0,0.0,0.0,7.004,0.672,0.0,0.0,,,,,,,samples tested,31.48,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-10,84.0,11.0,0.0,0.0,8.059,1.055,0.0,0.0,,,,,179.0,0.017,samples tested,33.33,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-11,90.0,6.0,0.0,0.0,8.635,0.576,0.0,0.0,,,,,179.0,0.017,samples tested,33.33,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-12,99.0,9.0,1.0,1.0,9.498,0.863,0.096,0.096,,2180.0,0.209,,179.0,0.017,samples tested,40.74,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-13,133.0,34.0,1.0,0.0,12.76,3.262,0.096,0.0,520.0,2700.0,0.259,0.05,228.0,0.022,samples tested,40.74,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-14,190.0,57.0,1.0,0.0,18.229,5.469,0.096,0.0,700.0,3400.0,0.326,0.067,302.0,0.029,samples tested,54.63,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
GRC,Europe,Greece,2020-03-15,228.0,38.0,3.0,2.0,21.875,3.646,0.288,0.192,600.0,4000.0,0.384,0.058,362.0,0.035,samples tested,54.63,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
